Experiment,Number of Tasks,Task 2 Response Probability,Inter-task SOA is Predictable,Inter-task SOA,Distractor SOA,Task 1 CSI,Task 2 CSI,Switch Rate,Trial Transition Type,Stimulus-Stimulus Congruency,Stimulus-Response Congruency,Response Set Overlap,Task 1 Stimulus-Response Mapping,Task 2 Stimulus-Response Mapping,Task 1 Cue Type,Task 2 Cue Type,RSI is Predictable,RSI,Task 1 Difficulty,Task 2 Difficulty,Task 1 Type,Task 2 Type,Intra-Trial Task Relationship,Notes,Super_Experiment_Mapping_Notes
Hirsch et al. (2017) Experiment 2 Repeat 800ms SOA,2,1,No,800,N/A,500,0,67%,Repeat,N/A,N/A,Identical,Arbitrary,Arbitrary,Arbitrary,None/Implicit,Yes,1000,2,2,Visual Categorization,Pitch Discrimination,Different,,"{""block_id"": ""Hirsch et al. (2017) Experiment 2 800ms SOA"", ""convert_overrides"": {""t1_stim_duration"": 100, ""t2_stim_duration"": 100}}"
Hirsch et al. (2017) Experiment 2 Switch 800ms SOA,2,1,No,800,N/A,500,0,67%,Switch,N/A,N/A,Identical,Arbitrary,Arbitrary,Arbitrary,None/Implicit,Yes,1000,2,2,Visual Categorization,Pitch Discrimination,Different,,"{""block_id"": ""Hirsch et al. (2017) Experiment 2 800ms SOA"", ""convert_overrides"": {""t1_stim_duration"": 100, ""t2_stim_duration"": 100}}"
Hirsch et al. (2017) Experiment 3 50ms SOA,2,1,No,50,N/A,500,0,100%,Switch,N/A,N/A,Disjoint - Effector,Arbitrary,Arbitrary,Arbitrary,None/Implicit,Yes,1000,2,2,Visual Categorization,Pitch Discrimination,Different,,"{""block_id"": ""Hirsch et al. (2017) Experiment 3 50ms SOA"", ""convert_overrides"": {""t1_stim_duration"": 100, ""t2_stim_duration"": 100}}"
Hirsch et al. (2017) Experiment 3 800ms SOA,2,1,No,800,N/A,500,0,100%,Switch,N/A,N/A,Disjoint - Effector,Arbitrary,Arbitrary,Arbitrary,None/Implicit,Yes,1000,2,2,Visual Categorization,Pitch Discrimination,Different,,"{""block_id"": ""Hirsch et al. (2017) Experiment 3 800ms SOA"", ""convert_overrides"": {""t1_stim_duration"": 100, ""t2_stim_duration"": 100}}"
"Röttger and Haider (2017) Experiment 1 100ms SOA, T2 Forced",2,0.5,No,100,N/A,0,0,0,Pure,N/A,N/A,Disjoint - Effector,Arbitrary,Arbitrary,None/Implicit,None/Implicit,Yes,1000,2,1,Perceptual 2AFC,Auditory go/no-go,Different,After errors there's actually a random amount (1-1000ms) of extra time before the next trial. Can't map this.,"{""block_id"": ""Röttger and Haider (2017) Experiment 1 T2 Forced"", ""convert_overrides"": {""t2_stim_duration"": 55}}"
"Röttger and Haider (2017) Experiment 1 200ms SOA, T2 Forced",2,0.5,No,200,N/A,0,0,0,Pure,N/A,N/A,Disjoint - Effector,Arbitrary,Arbitrary,None/Implicit,None/Implicit,Yes,1000,2,1,Perceptual 2AFC,Auditory go/no-go,Different,,"{""block_id"": ""Röttger and Haider (2017) Experiment 1 T2 Forced"", ""convert_overrides"": {""t2_stim_duration"": 55}}"
"Röttger and Haider (2017) Experiment 1 400ms SOA, T2 Forced",2,0.5,No,400,N/A,0,0,0,Pure,N/A,N/A,Disjoint - Effector,Arbitrary,Arbitrary,None/Implicit,None/Implicit,Yes,1000,2,1,Perceptual 2AFC,Auditory go/no-go,Different,,"{""block_id"": ""Röttger and Haider (2017) Experiment 1 T2 Forced"", ""convert_overrides"": {""t2_stim_duration"": 55}}"
Röttger and Haider (2017) Experiment 3a Congruent,1,0,N/A,N/A,-50,0,N/A,0,Pure,Congruent,N/A,N/A,Arbitrary,N/A,None/Implicit,N/A,No,2000,2,N/A,Visual go/no-go,N/A,N/A,,"{""block_id"": ""Röttger and Haider (2017) Experiment 3a"", ""convert_overrides"": {""t2_stim_duration"": 55}, ""viewer_config"":{""ITI_distribution"":""uniform"", ""ITI_range"":[1501, 2500]}}"
Röttger and Haider (2017) Experiment 3a Incongruent,1,0,N/A,N/A,-50,0,N/A,0,Pure,Incongruent,N/A,N/A,Arbitrary,N/A,None/Implicit,N/A,No,2000,2,N/A,Visual go/no-go,N/A,N/A,,"{""block_id"": ""Röttger and Haider (2017) Experiment 3a"", ""convert_overrides"": {""t2_stim_duration"": 55}, ""viewer_config"":{""ITI_distribution"":""uniform"", ""ITI_range"":[1501, 2500]}}"
Röttger and Haider (2017) Experiment 3a Neutral,1,0,N/A,N/A,-50,0,N/A,0,Pure,Neutral,N/A,N/A,Arbitrary,N/A,None/Implicit,N/A,No,2000,2,N/A,Visual go/no-go,N/A,N/A,,"{""block_id"": ""Röttger and Haider (2017) Experiment 3a"", ""convert_overrides"": {""t2_stim_duration"": 55}, ""viewer_config"":{""ITI_distribution"":""uniform"", ""ITI_range"":[1501, 2500]}}"
Röttger and Haider (2017) Experiment 3b 100ms SOA White Box,1,0,N/A,N/A,100,0,N/A,0,Pure,Neutral,N/A,N/A,Arbitrary,N/A,None/Implicit,N/A,No,2000,2,N/A,Perceptual 2AFC,N/A,N/A,The six conditions making up 3b are intermixed such that white make up 83% and green make up 17%,"{""block_id"": ""Röttger and Haider (2017) Experiment 3b"", ""convert_overrides"": {""t2_stim_duration"": 55}, ""viewer_config"":{""ITI_distribution"":""uniform"", ""ITI_range"":[1501, 2500]}}"
Röttger and Haider (2017) Experiment 3b 200ms SOA White Box,1,0,N/A,N/A,200,0,N/A,0,Pure,Neutral,N/A,N/A,Arbitrary,N/A,None/Implicit,N/A,No,2000,2,N/A,Perceptual 2AFC,N/A,N/A,,"{""block_id"": ""Röttger and Haider (2017) Experiment 3b"", ""convert_overrides"": {""t2_stim_duration"": 55}, ""viewer_config"":{""ITI_distribution"":""uniform"", ""ITI_range"":[1501, 2500]}}"
Röttger and Haider (2017) Experiment 3b 400ms SOA White Box,1,0,N/A,N/A,400,0,N/A,0,Pure,Neutral,N/A,N/A,Arbitrary,N/A,None/Implicit,N/A,No,2000,2,N/A,Perceptual 2AFC,N/A,N/A,,"{""block_id"": ""Röttger and Haider (2017) Experiment 3b"", ""convert_overrides"": {""t2_stim_duration"": 55}, ""viewer_config"":{""ITI_distribution"":""uniform"", ""ITI_range"":[1501, 2500]}}"
Röttger and Haider (2017) Experiment 3b 100ms SOA Green Box,2,0.5,No,100,N/A,0,0,0,Pure,N/A,N/A,Disjoint - Effector,Arbitrary,Arbitrary,None/Implicit,None/Implicit,No,2000,2,1,Perceptual 2AFC,Auditory go/no-go,Different,,"{""block_id"": ""Röttger and Haider (2017) Experiment 3b"", ""convert_overrides"": {""t2_stim_duration"": 55}, ""viewer_config"":{""ITI_distribution"":""uniform"", ""ITI_range"":[1501, 2500]}}"
Röttger and Haider (2017) Experiment 3b 200ms SOA Green Box,2,0.5,No,200,N/A,0,0,0,Pure,N/A,N/A,Disjoint - Effector,Arbitrary,Arbitrary,None/Implicit,None/Implicit,No,2000,2,1,Perceptual 2AFC,Auditory go/no-go,Different,,"{""block_id"": ""Röttger and Haider (2017) Experiment 3b"", ""convert_overrides"": {""t2_stim_duration"": 55}, ""viewer_config"":{""ITI_distribution"":""uniform"", ""ITI_range"":[1501, 2500]}}"
Röttger and Haider (2017) Experiment 3b 400ms SOA Green Box,2,0.5,No,400,N/A,0,0,0,Pure,N/A,N/A,Disjoint - Effector,Arbitrary,Arbitrary,None/Implicit,None/Implicit,No,2000,2,1,Perceptual 2AFC,Auditory go/no-go,Different,,"{""block_id"": ""Röttger and Haider (2017) Experiment 3b"", ""convert_overrides"": {""t2_stim_duration"": 55}, ""viewer_config"":{""ITI_distribution"":""uniform"", ""ITI_range"":[1501, 2500]}}"
